timestamp,session_id,ip_address,country,region,city,location,source,landing_path,browser,os,device_type,device_name,language,timezone,screen,viewport,user_agent,notes
2026-08-30T03:26:24.311Z,58263b24e5b175ef62e5d0f515ff9411:6,71.206.77.219,US,Florida,Fort Lauderdale,"Fort Lauderdale, Florida, US",direct,/track-order.html?orderId=SHC-24402&fromEmailLink=1&email=93mediabrandon%40gmail.com,Chrome,Windows,desktop,Windows PC,en-US,America/New_York,1920x1080,1920x919,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",
2026-08-30T04:32:32.720Z,58263b24e5b175ef62e5d0f515ff9411:7,71.206.77.219,US,Florida,Fort Lauderdale,"Fort Lauderdale, Florida, US",direct,/track-order.html?orderId=SHC-24402&fromEmailLink=1&email=93mediabrandon%40gmail.com,Chrome,Windows,desktop,Windows PC,en-US,America/New_York,1920x1080,1920x919,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",
2026-08-30T05:51:55.775Z,58263b24e5b175ef62e5d0f515ff9411:8,71.206.77.219,US,Florida,Fort Lauderdale,"Fort Lauderdale, Florida, US",direct,/track-order.html?orderId=SHC-24402&fromEmailLink=1&email=93mediabrandon%40gmail.com,Chrome,Windows,desktop,Windows PC,en-US,America/New_York,1920x1080,1920x919,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",
2026-08-30T12:53:33.834Z,a592827a564f1993d180ebecc2bb0f28,162.233.72.202,US,Florida,Deerfield Beach,"Deerfield Beach, Florida, US",Direct,/my-account.html,Chrome,Android,mobile,Android Device,en-US,America/New_York,360x780,360x647,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Mobile Safari/537.36",Left page after 4s (tab/window hidden)
2026-08-30T13:20:56.710Z,5490be37bdc6100b2c278ba2098fb030,24.218.121.62,US,Massachusetts,Randolph,"Randolph, Massachusetts, US",Direct,/sell/?device=iphone-16-pro&storage=256GB&carrier=unlocked&quality=broken&utm_source=sellcell.com&utm_medium=referral,Chrome,Windows,desktop,Windows PC,en-US,America/New_York,1920x1080,1920x945,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",Page params: device=iphone-16-pro&storage=256GB&carrier=unlocked&quality=broken&utm_source=sellcell.com&utm_medium=referral | Left page after 2s (tab/window hidden)
2026-08-30T13:36:50.606Z,9934b8a9f9676893d8016c7702353a39:13,162.233.72.202,US,Florida,Deerfield Beach,"Deerfield Beach, Florida, US",Direct,/track-order.html,Chrome,Windows,desktop,Windows PC,en-US,America/New_York,1280x720,1280x593,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Left page after 1s (tab/window hidden)
2026-08-30T18:13:41.752Z,a5e62a8f0627c0b76fbeb0c24c7584f0,71.206.77.219,US,Florida,Fort Lauderdale,"Fort Lauderdale, Florida, US",Direct,/track-order.html?orderId=SHC-24402&fromEmailLink=1&email=93mediabrandon%40gmail.com,Chrome,Windows,desktop,Windows PC,en-US,America/New_York,1920x1080,1920x919,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",Page params: orderId=SHC-24402&fromEmailLink=1&email=93mediabrandon%40gmail.com | Left page after 3s (tab/window close) | Left page after 3s (tab/window hidden)
2026-08-30T20:20:08.262Z,a5e62a8f0627c0b76fbeb0c24c7584f0:2,71.206.77.219,US,Florida,Fort Lauderdale,"Fort Lauderdale, Florida, US",direct,/track-order.html?orderId=SHC-24402&fromEmailLink=1&email=93mediabrandon%40gmail.com,Chrome,Windows,desktop,Windows PC,en-US,America/New_York,1920x1080,1920x919,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",
2026-08-30T20:59:20.602Z,a5e62a8f0627c0b76fbeb0c24c7584f0:3,71.206.77.219,US,Florida,Fort Lauderdale,"Fort Lauderdale, Florida, US",direct,/track-order.html?orderId=SHC-24402&fromEmailLink=1&email=93mediabrandon%40gmail.com,Chrome,Windows,desktop,Windows PC,en-US,America/New_York,1920x1080,1920x919,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",
2026-08-30T22:30:20.858Z,5cd595f002a08c89e570ed7434f6a6bc,173.70.55.168,US,New Jersey,North Bergen,"North Bergen, New Jersey, US",Direct,/sell/?device=iphone-14-pro-max&storage=512GB&carrier=unlocked&quality=broken&utm_source=sellcell.com&utm_medium=referral,Edge,Windows,desktop,Windows PC,en-US,America/New_York,1536x864,1528x698,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36 Edg/152.0.0.0",Page params: device=iphone-14-pro-max&storage=512GB&carrier=unlocked&quality=broken&utm_source=sellcell.com&utm_medium=referral
